time,ex,chloroplast1,chloroplast2,chloroplast3,chloroplast4,chloroplast5,chloroplast6,chloroplast7,chloroplast8,chloroplast9,chloroplast10,chloroplast11,chloroplast12,chloroplast13,chloroplast14,chloroplast15
44,1,2.302955095,5.3882452,3.44331234,1.099058928,2.837894695,2.366850896,4.318437921,8.28450257,6.82388384,5.3407636,7.81354171,8.00119771,4.74590678,5.62493639,6.18033989
45,1,1.83032433,5.3882452,3.44331234,1.007852416,2.730097164,2.246415944,4.272479363,8.28450257,6.7632495,5.27137778,7.72547509,8.00119771,4.485009116,5.20973821,6.47058824
46,1,1.929440009,5.35976918,3.384714724,0.962192656,2.541470634,2.211882256,4.260036171,8.08860174,6.75011923,5.12733757,7.97122181,8.41382853,4.525961612,5.20973821,6.17647059
47,1,2.004424269,5.26764196,3.384714724,0.962192656,2.521726828,2.056916955,4.302884817,8.13771802,6.75011923,5.08720626,7.97122181,8.00119771,4.816658393,5.20973821,6.18033989
48,1,2.035904121,5.16409482,3.268179556,0.916861199,2.489005142,1.993959195,4.185778547,8.138176,6.71171112,4.846370847,7.97122181,8.00119771,4.816658393,5.20973821,5.88632678
49,1,1.930512746,4.911834041,3.268179556,0.954068555,2.380963597,1.882767012,4.231390979,8.2858602,6.59214542,4.606328913,8.13359621,8.06094312,5.15451559,5.43185168,5.58823529
50,1,1.944248604,4.770692216,3.268179556,0.844597793,2.400106897,1.85497179,4.214029889,8.33647887,6.67502913,4.570760773,8.13359621,8.23529412,5.49798135,5.24357339,5.58823529
51,1,1.838630602,4.589019677,3.258187135,0.75436414,2.118071748,1.683501668,4.214029889,8.38962311,6.62739642,4.293647089,7.97122181,8.00119771,5.55960181,5.0172861,5.59231947
52,1,1.782365855,4.475244462,3.258187135,0.709207476,2.085524799,1.652690801,3.985041394,8.50602127,6.53245341,4.190613056,7.72547509,8.23529412,5.55960181,5.0172861,5.58823529
53,1,1.722414155,4.452104625,3.258187135,0.619362912,1.992078922,1.656485884,4.16342818,8.40826802,6.53245341,4.050056768,7.89094529,8.23529412,5.84652289,5.0172861,5.58823529
54,1,1.652075475,4.322711868,3.258187135,0.619362912,1.945262313,1.648704176,3.899758409,8.1528043,6.39037903,4.018741967,7.89094529,8.71042591,5.91410313,4.602839834,5.29831847
55,1,1.571016265,4.382698173,3.258187135,0.529793307,1.945262313,1.724901364,3.967472405,8.11794381,5.91604791,4.124029498,8.06094312,8.95122497,6.27280465,4.794603415,5.29831847
56,1,1.627851609,4.338843324,3.152397322,0.529793307,1.822234778,1.773305844,3.939235901,8.02364691,5.90518978,4.124029498,8.23529412,8.95122497,6.27280465,5.0172861,5.59231947
57,1,1.592784177,4.053865569,3.046420135,0.505234133,1.747099851,1.828534479,3.993504427,7.83949657,5.71971024,4.124029498,8.23529412,8.95122497,5.98914217,4.829867628,5.29831847
